AccidentSeverity,Region,LightCondition,WeatherCondition,AccidentMonth,AccidentDay,Accidents
Slight,South East,Darkness - no lighting,Fine,May,Saturday,6
Slight,South East,Darkness - no lighting,Fine,May,Sunday,6
Slight,South East,Darkness - lights lit,Fine,May,Sunday,11
Slight,South East,Darkness - lights lit,Fine,May,Monday,5
Serious,South East,Darkness - lights lit,Raining,May,Monday,1
Slight,South East,Daylight,Raining,May,Tuesday,17
Serious,South East,Darkness - lights lit,Fine,May,Tuesday,5
Fatal,South East,Daylight,Fine,May,Wednesday,1
Serious,South East,Darkness - lights lit,Fine,May,Saturday,6
Serious,South East,Darkness - lights lit,Fine,May,Monday,4
Serious,South East,Daylight,Raining,May,Tuesday,3
Slight,South East,Daylight,Raining,May,Monday,18
Slight,South East,Daylight,Other,May,Tuesday,2
Serious,South East,Daylight,Fine,June,Wednesday,43
Slight,South East,Daylight,Fine,June,Wednesday,194
Serious,South East,Daylight,Fine,June,Thursday,46
Slight,South East,Daylight,Fine,June,Thursday,162
Slight,South East,Darkness - no lighting,Fine,June,Thursday,4
Slight,South East,Daylight,Fine,June,Friday,154
Slight,South East,Darkness - lights lit,Fine,June,Friday,10
Slight,South East,Darkness - lights lit,Raining,June,Friday,3
Serious,South East,Darkness - no lighting,Fine,June,Friday,3
Slight,South East,Daylight,Fine,June,Saturday,112
Serious,South East,Daylight,Fine,June,Saturday,39
Serious,South East,Daylight,Raining,June,Sunday,4
Slight,South East,Daylight,Fine,June,Sunday,84
Slight,South East,Daylight,Raining,June,Monday,11
Slight,South East,Daylight,Raining heavily,June,Sunday,2
Serious,South East,Daylight,Fine,June,Monday,29
Slight,South East,Daylight,Fine,June,Tuesday,152
Slight,South East,Daylight,Raining,June,Wednesday,6
Slight,South East,Darkness - lights lit,Fine,October,Saturday,22
Serious,South East,Daylight,Fine,June,Friday,56
Fatal,South East,Darkness - no lighting,Fine,June,Friday,2
Slight,South East,Darkness - lights lit,Fine,June,Saturday,12
Slight,South East,Darkness - lighting unknown,Fine,June,Saturday,5
Fatal,South East,Darkness - lights lit,Fine,June,Saturday,1
Serious,South East,Daylight,Fine,June,Sunday,23
Slight,South East,Daylight,Other,June,Sunday,1
Slight,South East,Darkness - lighting unknown,Fine,June,Sunday,3
Slight,South East,Darkness - lighting unknown,Fine,June,Monday,3
Serious,South East,Daylight,Fine,June,Tuesday,38
Serious,South East,Darkness - lights lit,Fine,June,Friday,5
Slight,South East,Darkness - lights lit,Fine,June,Thursday,12
Slight,South East,Darkness - lighting unknown,Fine,June,Friday,3
Slight,South East,Darkness - no lighting,Raining,June,Saturday,3
Slight,South East,Darkness - lights lit,Fine,June,Sunday,8
Slight,South East,Darkness - lighting unknown,Raining,June,Saturday,2
Slight,South East,Darkness - lighting unknown,Raining,June,Sunday,1
Slight,South East,Darkness - lighting unknown,Fine,June,Wednesday,4
Slight,South East,Darkness - lights lit,Fine,June,Tuesday,6
Slight,South East,Daylight,Other,June,Tuesday,1
Slight,South East,Darkness - no lighting,Fine,June,Friday,5
Serious,South East,Daylight,Raining,June,Friday,1
Serious,South East,Darkness - lights lit,Raining,June,Friday,1
Slight,South East,Daylight,Fine,July,Friday,173
Serious,South East,Darkness - lighting unknown,Fine,June,Thursday,1
Slight,South East,Darkness - lights lit,Fine,July,Friday,10
Serious,South East,Daylight,Fine,July,Friday,63
Slight,South East,Daylight,Fine,July,Saturday,156
Slight,South East,Darkness - lights lit,Fine,July,Saturday,12
Slight,South East,Darkness - no lighting,Fine,July,Sunday,7
Slight,South East,Daylight,Fine,July,Sunday,119
Serious,South East,Daylight,Fine,July,Sunday,51
Fatal,South East,Daylight,Fine,July,Sunday,5
Slight,South East,Daylight,Unknown,July,Sunday,1
Serious,South East,Darkness - no lighting,Fine,July,Sunday,1
Slight,South East,Darkness - lights lit,Fine,July,Sunday,13
Serious,South East,Darkness - lights lit,Fine,July,Sunday,5
Slight,South East,Darkness - lights lit,Fine,July,Monday,6
Serious,South East,Daylight,Fine,July,Monday,40
Slight,South East,Daylight,Fine,July,Monday,133
Slight,South East,Daylight,Fine,July,Tuesday,142
Serious,South East,Daylight,Fine,July,Tuesday,34
Slight,South East,Darkness - lights lit,Fine,July,Tuesday,8
Slight,South East,Darkness - no lighting,Fine,July,Wednesday,4
Slight,South East,Daylight,Fine,July,Wednesday,136
Serious,South East,Daylight,Fine,July,Wednesday,31
Serious,South East,Darkness - lights lit,Fine,July,Thursday,2
Slight,South East,Daylight,Fine,July,Thursday,122
Serious,South East,Daylight,Fine,July,Thursday,43
Serious,South East,Darkness - lights lit,Fine,July,Friday,5
Serious,South East,Daylight,Fine,July,Saturday,60
Slight,South East,Darkness - lighting unknown,Fine,July,Thursday,1
Slight,South East,Darkness - lights unlit,Fine,July,Friday,2
Serious,South East,Darkness - lights lit,Fine,July,Saturday,6
Slight,South East,Darkness - no lighting,Fine,July,Saturday,6
Fatal,South East,Daylight,Fine,July,Tuesday,4
Slight,South East,Darkness - no lighting,Fine,July,Tuesday,7
Slight,South East,Daylight,Other,July,Thursday,2
Slight,South East,Darkness - lights lit,Raining,July,Wednesday,2
Slight,South East,Daylight,Raining,July,Friday,3
Serious,South East,Darkness - lighting unknown,Fine,July,Saturday,1
Serious,South East,Daylight,Raining,July,Monday,1
Slight,South East,Darkness - no lighting,Fine,July,Monday,3
Serious,South East,Darkness - lights lit,Fine,July,Monday,4
Slight,South East,Daylight,Raining,July,Monday,2
Slight,South East,Daylight,Raining,July,Wednesday,1
Slight,South East,Daylight,Unknown,July,Saturday,1
Slight,South East,Darkness - lighting unknown,Fine,July,Saturday,6
Serious,South East,Darkness - lighting unknown,Fine,July,Sunday,2
Serious,South East,Daylight,Fine,August,Monday,33
Slight,South East,Daylight,Fine,August,Monday,125
Slight,South East,Daylight,Fine,August,Tuesday,122
Serious,South East,Daylight,Fine,August,Tuesday,53
Serious,South East,Daylight,Fine,August,Wednesday,34
Slight,South East,Daylight,Fine,August,Wednesday,154
Slight,South East,Darkness - no lighting,Fine,August,Wednesday,2
Serious,South East,Daylight,Fine,August,Thursday,37
Fatal,South East,Daylight,Fine,August,Thursday,2
Slight,South East,Daylight,Fine,August,Thursday,115
Slight,South East,Daylight,Fine,August,Friday,125
Serious,South East,Daylight,Fine,August,Friday,35
Serious,South East,Daylight,Fine,August,Saturday,39
Slight,South East,Daylight,Fine,August,Saturday,116
Serious,South East,Darkness - lights lit,Fine,August,Saturday,9
Slight,South East,Darkness - lights lit,Fine,April,Thursday,3
Slight,South East,Daylight,Fine,August,Sunday,86
Slight,South East,Darkness - lights lit,Other,August,Sunday,1
Slight,South East,Darkness - lights lit,Fine,August,Sunday,15
Slight,South East,Darkness - lights lit,Fine,August,Monday,15
Slight,South East,Daylight,Other,August,Saturday,2
Slight,South East,Daylight,Fine,September,Wednesday,112
Slight,South East,Darkness - no lighting,Fine,August,Monday,7
Slight,South East,Daylight,Other,August,Friday,4
Serious,South East,Darkness - lights lit,Fine,August,Tuesday,3
Serious,South East,Darkness - no lighting,Fine,August,Wednesday,3
Slight,South East,Darkness - lights lit,Fine,August,Friday,15
Slight,South East,Darkness - lights lit,Fine,August,Thursday,10
Slight,South East,Daylight,Other,August,Wednesday,4
Slight,South East,Darkness - no lighting,Fine,August,Thursday,2
Serious,South East,Darkness - no lighting,Fine,August,Thursday,6
Slight,South East,Darkness - lighting unknown,Fine,August,Thursday,4
Slight,South East,Darkness - no lighting,Fine,September,Saturday,8
Serious,South East,Darkness - lighting unknown,Fine,August,Saturday,1
Fatal,South East,Daylight,Fine,August,Saturday,3
Serious,South East,Darkness - no lighting,Fine,August,Sunday,4
Serious,South East,Daylight,Fine,August,Sunday,32
Slight,South East,Darkness - lights lit,Fine,August,Saturday,12
Serious,South East,Daylight,Raining,August,Tuesday,2
Slight,South East,Darkness - lights lit,Fine,August,Tuesday,19
Fatal,South East,Daylight,Raining,August,Wednesday,1
Slight,South East,Darkness - lights unlit,Raining,August,Friday,1
Slight,South East,Darkness - no lighting,Fine,August,Friday,6
Fatal,South East,Daylight,Fine,August,Sunday,2
Fatal,South East,Daylight,Fine,August,Tuesday,5
Slight,South East,Darkness - no lighting,Fine,August,Tuesday,8
Slight,South East,Daylight,Raining,August,Wednesday,10
Slight,South East,Daylight,Raining,August,Thursday,10
Slight,South East,Daylight,Fine,October,Tuesday,125
Slight,South East,Darkness - no lighting,Raining,August,Thursday,1
Serious,South East,Darkness - lights lit,Fine,August,Thursday,3
Fatal,South East,Darkness - lighting unknown,Fine,August,Saturday,1
Serious,South East,Darkness - lights lit,Fine,August,Sunday,9
Serious,South East,Darkness - no lighting,Fine,August,Monday,1
Serious,South East,Darkness - lights unlit,Fine,August,Friday,1
Slight,South East,Daylight,Fine,September,Sunday,82
Slight,South East,Darkness - lighting unknown,Fine,August,Saturday,5
Slight,South East,Darkness - lights lit,Fine,August,Wednesday,20
Serious,South East,Daylight,Fine,September,Thursday,40
Slight,South East,Daylight,Fine,September,Thursday,142
Fatal,South East,Daylight,Fine,September,Thursday,1
Serious,South East,Daylight,Fine,September,Friday,32
Slight,South East,Daylight,Fine,September,Friday,128
Slight,South East,Daylight,Fine + high winds,September,Friday,2
Serious,South East,Darkness - lights lit,Fine,September,Friday,3
Slight,South East,Daylight,Fine,September,Saturday,94
Serious,South East,Daylight,Fine,September,Saturday,41
Serious,South East,Darkness - lights lit,Fine,September,Saturday,9
Serious,South East,Daylight,Fine,September,Sunday,32
Slight,South East,Darkness - lights lit,Fine,September,Sunday,22
Slight,South East,Darkness - lighting unknown,Fine,September,Sunday,4
Slight,South East,Darkness - lights lit,Fine,September,Monday,10
Slight,South East,Daylight,Fine,September,Monday,83
Serious,South East,Daylight,Fine,September,Monday,23
Serious,South East,Darkness - no lighting,Raining,September,Monday,1
Slight,South East,Daylight,Fine,September,Tuesday,114
Serious,South East,Daylight,Fine,September,Tuesday,27
Serious,South East,Darkness - no lighting,Fine,September,Tuesday,1
Slight,South East,Darkness - lights lit,Fine,September,Tuesday,12
Slight,South East,Darkness - no lighting,Fine,September,Wednesday,4
Slight,South East,Darkness - no lighting,Raining,September,Tuesday,2
Slight,South East,Darkness - lights lit,Raining,September,Wednesday,4
Serious,South East,Daylight,Fine,September,Wednesday,34
Slight,South East,Darkness - lights lit,Fine,September,Thursday,21
Slight,South East,Darkness - lights lit,Fine,September,Wednesday,17
Slight,South East,Darkness - lights lit,Fine,September,Friday,15
Slight,South East,Daylight,Other,September,Wednesday,4
Serious,South East,Daylight,Fine + high winds,September,Friday,1
Slight,South East,Darkness - lights lit,Other,September,Thursday,1
Slight,South East,Darkness - lights lit,Fine,September,Saturday,18
Serious,South East,Darkness - no lighting,Unknown,September,Friday,1
Serious,South East,Darkness - no lighting,Fine,September,Saturday,3
Fatal,South East,Darkness - lights lit,Fine,September,Saturday,1
Slight,South East,Darkness - no lighting,Fine,September,Sunday,13
Serious,South East,Darkness - lighting unknown,Fine,September,Tuesday,1
Slight,South East,Daylight,Raining,September,Tuesday,23
Slight,South East,Darkness - lights lit,Raining,September,Tuesday,4
Serious,South East,Darkness - no lighting,Fine,September,Thursday,4
Slight,South East,Daylight,Raining,September,Friday,23
Slight,South East,Darkness - lighting unknown,Other,September,Saturday,1
Fatal,South East,Darkness - lighting unknown,Fog or mist,September,Sunday,1
Serious,South East,Darkness - lights lit,Fine,September,Sunday,6
Serious,South East,Darkness - lighting unknown,Raining,September,Monday,1
Slight,South East,Darkness - lights lit,Raining,September,Monday,1
Fatal,South East,Daylight,Fine,September,Wednesday,1
Serious,South East,Daylight,Fine,October,Thursday,28
Serious,South East,Darkness - lights lit,Fine,September,Thursday,7
Slight,South East,Darkness - no lighting,Fine,September,Thursday,9
Slight,South East,Darkness - no lighting,Raining heavily,September,Friday,2
Slight,South East,Darkness - no lighting,Raining,September,Friday,8
Slight,South East,Darkness - lights lit,Raining,September,Friday,6
Serious,South East,Daylight,Fine,October,Saturday,42
Slight,South East,Daylight,Fine,October,Saturday,153
Serious,South East,Daylight,Fine,October,Sunday,18
Slight,South East,Daylight,Fine,October,Sunday,77
Serious,South East,Daylight,Unknown,October,Sunday,1
Slight,South East,Darkness - no lighting,Fine,October,Sunday,7
Serious,South East,Darkness - lights lit,Fine,October,Thursday,8
Slight,South East,Darkness - lights lit,Fine,October,Sunday,15
Slight,South East,Daylight,Fine,October,Monday,130
Serious,South East,Daylight,Fine,October,Monday,30
Slight,South East,Darkness - no lighting,Fine,October,Tuesday,7
Serious,South East,Daylight,Fine,October,Tuesday,31
Slight,South East,Darkness - no lighting,Fine,October,Wednesday,7
Slight,South East,Daylight,Unknown,September,Sunday,1
Slight,South East,Daylight,Raining,October,Wednesday,4
Slight,South East,Daylight,Fine,October,Wednesday,100
Serious,South East,Daylight,Fine,October,Wednesday,27
Slight,South East,Darkness - lights lit,Fine,October,Thursday,22
Slight,South East,Darkness - lights lit,Fine,October,Tuesday,27
Slight,South East,Daylight,Fine,October,Thursday,107
Fatal,South East,Daylight,Fine,October,Thursday,2
Slight,South East,Darkness - no lighting,Fine,October,Friday,15
Slight,South East,Daylight,Unknown,October,Wednesday,2
Slight,South East,Daylight,Fine,October,Friday,102
Slight,South East,Daylight,Raining,October,Friday,20
Slight,South East,Darkness - lights lit,Fine,October,Friday,17
Serious,South East,Darkness - no lighting,Fine,October,Friday,5
Serious,South East,Darkness - lights lit,Fine,October,Friday,9
Fatal,South East,Darkness - lights lit,Fine,October,Saturday,3
Fatal,South East,Daylight,Fine,October,Saturday,2
Slight,South East,Darkness - lighting unknown,Fine,October,Friday,5
Slight,South East,Darkness - no lighting,Fine,October,Saturday,13
Serious,South East,Darkness - lights lit,Fine,October,Saturday,9
Slight,South East,Darkness - lights lit,Fine,October,Monday,16
Slight,South East,Darkness - no lighting,Fine,October,Monday,8
Slight,South East,Daylight,Fog or mist,September,Wednesday,1
Slight,South East,Darkness - lights lit,Fine,October,Wednesday,18
Slight,South East,Darkness - no lighting,Fog or mist,October,Thursday,1
Slight,South East,Daylight,Fog or mist,October,Thursday,2
Slight,South East,Daylight,Other,October,Thursday,3
Slight,South East,Darkness - no lighting,Fine,October,Thursday,6
Serious,South East,Daylight,Fine,October,Friday,27
Slight,South East,Daylight,Raining heavily,October,Thursday,1
Slight,South East,Darkness - lights unlit,Fine,October,Friday,2
Slight,South East,Darkness - lights lit,Raining,October,Friday,10
Slight,South East,Darkness - lighting unknown,Fine,October,Saturday,5
Serious,South East,Darkness - lights lit,Raining,October,Sunday,4
Slight,South East,Darkness - lights lit,Raining,October,Sunday,7
Slight,South East,Daylight,Fog or mist,October,Tuesday,2
Serious,South East,Daylight,Fine,November,Friday,24
Slight,South East,Darkness - lights lit,Raining,October,Monday,10
Slight,South East,Darkness - lighting unknown,Fine,October,Tuesday,3
Serious,South East,Darkness - lights lit,Raining,October,Wednesday,1
Fatal,South East,Daylight,Raining,October,Thursday,1
Slight,South East,Daylight,Raining,October,Thursday,20
Serious,South East,Darkness - no lighting,Raining,November,Friday,1
Serious,South East,Daylight,Raining,October,Friday,6
Slight,South East,Darkness - no lighting,Raining,October,Saturday,5
Serious,South East,Darkness - no lighting,Fine,October,Saturday,7
Serious,South East,Darkness - lights lit,Fine,October,Sunday,4
Slight,South East,Darkness - lights lit,Other,October,Sunday,1
Serious,South East,Darkness - no lighting,Raining heavily,October,Sunday,2
Serious,South East,Darkness - lighting unknown,Fine,September,Sunday,1
Slight,South East,Daylight,Other,October,Monday,4
Slight,South East,Daylight,Raining,October,Monday,12
Serious,South East,Darkness - lights lit,Fine,October,Monday,7
Serious,South East,Darkness - lighting unknown,Fine,October,Wednesday,1
Slight,South East,Darkness - lights lit,Raining,October,Wednesday,4
Slight,South East,Darkness - lights lit,Other,October,Wednesday,3
Serious,South East,Darkness - no lighting,Fine,October,Thursday,6
Slight,South East,Darkness - lights lit,Raining,October,Saturday,4
Slight,South East,Darkness - lighting unknown,Fine,October,Sunday,3
Fatal,South East,Daylight,Raining,October,Sunday,1
Fatal,South East,Daylight,Fine,October,Monday,1
Slight,South East,Darkness - no lighting,Raining heavily,October,Monday,3
Serious,South East,Darkness - lighting unknown,Fine,October,Friday,2
Slight,South East,Daylight,Raining,November,Tuesday,34
Slight,South East,Daylight,Fine,November,Tuesday,73
Slight,South East,Darkness - lights lit,Fine,November,Tuesday,40
Slight,South East,Darkness - lights lit,Raining,November,Tuesday,12
Slight,South East,Darkness - lighting unknown,Fine,November,Tuesday,8
Serious,South East,Daylight,Fine,November,Wednesday,18
Slight,South East,Daylight,Fine,November,Thursday,68
Slight,South East,Daylight,Fine,November,Wednesday,112
Slight,South East,Daylight,Raining,November,Wednesday,20
Slight,South East,Darkness - no lighting,Raining heavily,November,Wednesday,4
Slight,South East,Darkness - lighting unknown,Raining,November,Wednesday,4
Slight,South East,Darkness - lights lit,Fine,November,Thursday,28
Serious,South East,Darkness - no lighting,Fine,November,Thursday,8
Slight,South East,Darkness - lights lit,Fine,November,Friday,51
Serious,South East,Darkness - lights lit,Fine,November,Friday,15
Serious,South East,Darkness - lights lit,Fine,November,Saturday,7
Slight,South East,Daylight,Raining,November,Saturday,14
Fatal,South East,Daylight,Raining,November,Saturday,1
Serious,South East,Daylight,Raining,November,Saturday,4
Slight,South East,Darkness - lights lit,Fine,November,Saturday,23
Slight,South East,Darkness - lights lit,Raining,November,Friday,4
Slight,South East,Daylight,Raining,November,Sunday,13
Slight,South East,Darkness - lights lit,Fine,November,Monday,36
Slight,South East,Daylight,Fine,November,Monday,51
Slight,South East,Daylight,Raining,November,Monday,33
Slight,South East,Daylight,Raining,November,Friday,3
Slight,South East,Daylight,Unknown,November,Monday,2
Slight,South East,Darkness - lights lit,Raining,November,Monday,7
Serious,South East,Daylight,Fine,November,Monday,14
Serious,South East,Darkness - lights lit,Fine,November,Monday,11
Slight,South East,Darkness - no lighting,Raining,November,Monday,5
Slight,South East,Darkness - lighting unknown,Fine,November,Monday,8
Serious,South East,Darkness - lights lit,Fine,November,Sunday,5
Slight,South East,Daylight,Raining,November,Thursday,16
Serious,South East,Darkness - lights lit,Fine,November,Tuesday,10
Slight,South East,Darkness - lighting unknown,Fine,November,Wednesday,8
Slight,South East,Darkness - lights lit,Fine,November,Wednesday,37
Serious,South East,Darkness - no lighting,Fine,November,Wednesday,3
Serious,South East,Daylight,Fine,November,Thursday,14
Slight,South East,Darkness - lighting unknown,Fine,November,Thursday,9
Slight,South East,Darkness - lights lit,Raining,November,Thursday,15
Slight,South East,Darkness - lighting unknown,Fine,November,Friday,6
Slight,South East,Darkness - no lighting,Fog or mist,November,Sunday,1
Serious,South East,Daylight,Fine,November,Sunday,13
Serious,South East,Daylight,Fine,November,Saturday,22
Slight,South East,Darkness - no lighting,Fine,November,Sunday,9
Slight,South East,Daylight,Fine,November,Sunday,36
Slight,South East,Darkness - lights unlit,Fog or mist,November,Monday,1
Serious,South East,Daylight,Raining,November,Tuesday,9
Slight,South East,Darkness - no lighting,Raining,November,Tuesday,8
Serious,South East,Darkness - no lighting,Other,November,Tuesday,1
Serious,South East,Darkness - lights lit,Raining,November,Wednesday,9
Slight,South East,Darkness - no lighting,Fine,November,Wednesday,12
Slight,South East,Daylight,Other,November,Wednesday,4
Fatal,South East,Darkness - lights lit,Raining,November,Wednesday,1
Slight,South East,Darkness - lights lit,Raining,November,Wednesday,24
Serious,South East,Daylight,Raining,November,Thursday,4
Slight,South East,Darkness - lighting unknown,Fine,November,Sunday,3
Serious,South East,Darkness - lights lit,Fine,November,Thursday,8
Slight,South East,Darkness - no lighting,Raining,November,Thursday,7
Fatal,South East,Darkness - lights lit,Fine,November,Friday,2
Slight,South East,Darkness - no lighting,Fine,November,Tuesday,13
Serious,South East,Darkness - no lighting,Fine,November,Friday,10
Slight,South East,Darkness - no lighting,Fine,November,Friday,18
Slight,South East,Darkness - no lighting,Fine,November,Saturday,8
Slight,South East,Daylight,Fine,November,Saturday,59
Slight,South East,Darkness - lights lit,Fine,November,Sunday,12
Slight,South East,Darkness - lights lit,Raining,November,Sunday,14
Serious,South East,Darkness - no lighting,Raining,November,Sunday,1
Fatal,South East,Daylight,Fine,November,Sunday,1
Slight,South East,Darkness - no lighting,Fine,November,Monday,11
Slight,South East,Daylight,Other,November,Monday,3
Serious,South East,Darkness - no lighting,Raining,November,Monday,2
Slight,South East,Daylight,Raining,January,Friday,2
Serious,South East,Daylight,Fine,November,Tuesday,17
Slight,South East,Darkness - no lighting,Fine + high winds,November,Tuesday,1
Serious,South East,Darkness - no lighting,Fine,November,Tuesday,3
Fatal,South East,Darkness - lights lit,Fine,November,Wednesday,1
Slight,South East,Darkness - no lighting,Fine,April,Sunday,7
Serious,South East,Darkness - no lighting,Fine,November,Saturday,4
Serious,South East,Darkness - lights lit,Raining heavily,November,Saturday,1
Serious,South East,Darkness - lights lit,Fog or mist,November,Monday,1
Slight,South East,Darkness - lighting unknown,Raining,November,Saturday,2
Slight,South East,Darkness - lighting unknown,Fine,November,Saturday,4
Slight,South East,Darkness - lighting unknown,Unknown,November,Monday,1
Serious,South East,Darkness - no lighting,Fog or mist,December,Thursday,1
Slight,South East,Daylight,Fine,December,Thursday,95
Slight,South East,Darkness - lights lit,Fine,December,Thursday,52
Slight,South East,Daylight,Fog or mist,December,Thursday,3
Slight,South East,Darkness - no lighting,Fine,December,Thursday,13
Serious,South East,Daylight,Fine,December,Friday,16
Slight,South East,Daylight,Fine,December,Friday,72
Slight,South East,Daylight,Raining,December,Friday,16
Slight,South East,Darkness - lights lit,Fine,December,Friday,44
Serious,South East,Darkness - no lighting,Fine,December,Saturday,6
Slight,South East,Darkness - no lighting,Other,December,Saturday,3
Serious,South East,Darkness - lights lit,Fine,December,Saturday,10
Slight,South East,Darkness - no lighting,Raining,December,Saturday,4
Slight,South East,Darkness - lights lit,Fine,December,Sunday,13
Slight,South East,Daylight,Fine,December,Sunday,20
Serious,South East,Daylight,Fine,December,Sunday,6
Fatal,South East,Darkness - lighting unknown,Raining,December,Sunday,1
Slight,South East,Darkness - lights lit,Fine,December,Monday,30
Slight,South East,Darkness - no lighting,Other,December,Monday,1
Serious,South East,Darkness - lights lit,Raining,December,Monday,6
Slight,South East,Daylight,Fine,December,Monday,43
Slight,South East,Darkness - lighting unknown,Fine,December,Tuesday,10
Serious,South East,Daylight,Fine,December,Tuesday,14
Slight,South East,Daylight,Fine,December,Tuesday,57
Slight,South East,Darkness - lights lit,Fine,December,Tuesday,29
Serious,South East,Darkness - lighting unknown,Fine,December,Wednesday,1
Serious,South East,Daylight,Fine,December,Wednesday,10
Slight,South East,Daylight,Other,December,Wednesday,4
Slight,South East,Darkness - lights lit,Fine,December,Wednesday,32
Serious,South East,Darkness - lights lit,Fine,December,Thursday,19
Slight,South East,Darkness - lighting unknown,Fine,December,Wednesday,8
Serious,South East,Darkness - lighting unknown,Fine,December,Friday,3
Slight,South East,Darkness - lighting unknown,Fine,December,Thursday,5
Serious,South East,Darkness - no lighting,Fine,December,Friday,4
Slight,South East,Darkness - lights lit,Other,December,Friday,5
Slight,South East,Darkness - lighting unknown,Raining,December,Saturday,1
Slight,South East,Daylight,Fog or mist,December,Saturday,2
Slight,South East,Daylight,Other,December,Saturday,6
Serious,South East,Daylight,Fine,December,Saturday,20
Serious,South East,Darkness - lights lit,Raining,December,Saturday,2
Slight,South East,Darkness - lights lit,Fine,December,Saturday,43
Fatal,South East,Darkness - lighting unknown,Fine,December,Saturday,1
Serious,South East,Daylight,Fine,December,Thursday,29
Serious,South East,Darkness - lights lit,Fine,December,Sunday,5
Slight,South East,Darkness - no lighting,Other,December,Sunday,1
Slight,South East,Daylight,Other,December,Sunday,4
Slight,South East,Daylight,Snowing,December,Monday,1
Serious,South East,Daylight,Fine,December,Monday,10
Slight,South East,Darkness - no lighting,Fine,December,Monday,9
Slight,South East,Darkness - lights lit,Raining,December,Monday,13
Slight,South East,Daylight,Snowing,December,Tuesday,1
Slight,South East,Darkness - lights lit,Other,December,Monday,2
Slight,South East,Daylight,Snowing + high winds,December,Tuesday,1
Slight,South East,Darkness - no lighting,Fine,December,Tuesday,11
Serious,South East,Darkness - no lighting,Fine,December,Tuesday,4
Slight,South East,Darkness - lights lit,Other,December,Tuesday,3
Serious,South East,Darkness - no lighting,Fine,December,Wednesday,4
Slight,South East,Daylight,Other,December,Thursday,8
Fatal,South East,Daylight,Fine,December,Friday,2
Slight,South East,Daylight,Unknown,December,Tuesday,3
Slight,South East,Darkness - lighting unknown,Fine,December,Friday,10
Slight,South East,Darkness - lighting unknown,Fine,December,Saturday,5
Fatal,South East,Darkness - lights lit,Fine,December,Saturday,3
Slight,South East,Daylight,Raining,December,Sunday,6
Slight,South East,Darkness - lights lit,Other,December,Sunday,2
Slight,South East,Darkness - no lighting,Raining,December,Sunday,5
Slight,South East,Daylight,Raining,December,Monday,10
Slight,South East,Darkness - lighting unknown,Raining,December,Monday,4
Slight,South East,Darkness - lights lit,Raining,December,Tuesday,5
Serious,South East,Darkness - no lighting,Fine,December,Thursday,4
Slight,South East,Darkness - lights lit,Raining,December,Friday,10
Slight,South East,Darkness - no lighting,Fine,December,Sunday,4
Slight,South East,Darkness - no lighting,Fine,December,Saturday,12
Serious,South East,Darkness - lights lit,Raining,December,Tuesday,2
Slight,South East,Darkness - lights unlit,Fine,December,Tuesday,2
Slight,South East,Daylight,Raining,December,Wednesday,9
Slight,South East,Darkness - lights lit,Raining,December,Wednesday,6
Slight,South East,Daylight,Raining,January,Wednesday,2
Slight,South East,Daylight,Raining,December,Thursday,12
Slight,South East,Darkness - lights lit,Raining,December,Sunday,11
Slight,South East,Darkness - lighting unknown,Unknown,December,Thursday,1
Serious,South East,Darkness - lights unlit,Raining,December,Friday,1
Slight,South East,Darkness - no lighting,Fine,December,Friday,17
Serious,South East,Daylight,Raining,December,Saturday,2
Serious,South East,Darkness - lighting unknown,Raining,December,Saturday,1
Slight,South East,Darkness - lights lit,Raining,January,Saturday,4
Slight,South East,Darkness - no lighting,Raining,January,Saturday,4
Slight,South East,Darkness - no lighting,Raining,January,Sunday,1
Serious,South East,Darkness - lights lit,Fine,January,Tuesday,5
Slight,South East,Darkness - no lighting,Other,January,Thursday,1
Serious,South East,Darkness - lights lit,Raining,January,Thursday,2
Slight,South East,Darkness - lights lit,Unknown,January,Thursday,1
Serious,South East,Daylight,Other,January,Friday,1
Fatal,South East,Daylight,Raining,January,Friday,1
Slight,South East,Darkness - lights lit,Other,January,Saturday,1
Serious,South East,Darkness - no lighting,Raining,January,Saturday,3
Fatal,South East,Darkness - lights lit,Fine,January,Saturday,2
Fatal,South East,Daylight,Fine,January,Sunday,2
Slight,South East,Darkness - lighting unknown,Fine,January,Sunday,1
Slight,South East,Darkness - no lighting,Fine,January,Sunday,11
Serious,South East,Darkness - lights lit,Fog or mist,January,Tuesday,1
Fatal,South East,Daylight,Fine,January,Tuesday,2
Serious,South East,Darkness - lighting unknown,Fine,January,Tuesday,2
Serious,South East,Darkness - lights lit,Fog or mist,January,Friday,1
Fatal,South East,Darkness - no lighting,Fine,January,Friday,1
Serious,South East,Darkness - lighting unknown,Fine,January,Sunday,1
Fatal,South East,Darkness - lights lit,Fine,January,Monday,1
Fatal,South East,Darkness - no lighting,Fine,January,Saturday,1
Slight,South East,Darkness - lighting unknown,Unknown,January,Friday,1
Slight,South East,Darkness - lights unlit,Fine,January,Friday,3
Fatal,South East,Darkness - no lighting,Fine,January,Sunday,2
Fatal,South East,Darkness - no lighting,Raining,January,Sunday,1
Serious,South East,Daylight,Fine + high winds,February,Sunday,3
Slight,South East,Darkness - lights lit,Raining heavily,February,Sunday,6
Fatal,South East,Darkness - no lighting,Fine,February,Sunday,1
Serious,South East,Darkness - lights lit,Fine,February,Sunday,4
